Time [s]	Temp. [ C]	E1	E3	E4	F1	F3	F4	G1	G3	G4	Time_hs	Time
37200.3	   29.0	 6861.0	13240.0	16709.0	 6907.0	11459.0	16616.0	 6841.0	17451.0	18114.0	10.333416666666666	10.3334166666667
37500.3	   29.2	 6677.0	13108.0	16974.0	 6745.0	11572.0	16532.0	 6918.0	17495.0	18127.0	10.41675	10.41675
37800.3	   29.1	 6773.0	13131.0	16840.0	 6646.0	10992.0	16587.0	 6977.0	17745.0	17990.0	10.500083333333333	10.5000833333333
38100.3	   29.3	 6745.0	13029.0	16887.0	 6825.0	11008.0	16464.0	 6812.0	17669.0	18273.0	10.583416666666666	10.5834166666667
38400.3	   29.3	 6760.0	12849.0	17090.0	 6764.0	11420.0	17012.0	 6948.0	17562.0	17654.0	10.66675	10.66675
38700.3	   29.4	 6840.0	12789.0	16743.0	 6655.0	11477.0	17241.0	 6980.0	17424.0	17936.0	10.750083333333333	10.7500833333333
39000.3	   29.3	 6872.0	13140.0	16917.0	 6786.0	11739.0	16927.0	 6850.0	17522.0	18253.0	10.833416666666666	10.8334166666667
39300.3	   29.1	 6935.0	13332.0	17108.0	 6749.0	11017.0	17091.0	 6815.0	17099.0	18220.0	10.91675	10.91675
39600.3	   29.0	 6622.0	13174.0	16961.0	 6880.0	11249.0	16706.0	 6870.0	17116.0	18121.0	11.000083333333333	11.0000833333333
39900.3	   29.1	 6773.0	13350.0	16972.0	 6762.0	11405.0	16855.0	 6856.0	17694.0	18258.0	11.083416666666666	11.0834166666667
40200.3	   29.1	 6888.0	13577.0	17124.0	 6760.0	10977.0	17009.0	 6851.0	17438.0	18609.0	11.16675	11.16675
40500.3	   29.3	 6843.0	13409.0	16905.0	 6858.0	11467.0	17060.0	 6916.0	17750.0	18203.0	11.250083333333333	11.2500833333333
40800.4	   29.3	 6691.0	13297.0	17025.0	 6746.0	11438.0	17169.0	 6979.0	17771.0	18181.0	11.333444444444444	11.3334444444444
41100.4	   29.2	 6942.0	13216.0	16916.0	 6633.0	11470.0	16821.0	 6761.0	17388.0	18012.0	11.416777777777778	11.4167777777778
41400.4	   29.3	 6795.0	13104.0	16941.0	 6883.0	11116.0	16972.0	 6710.0	17275.0	17803.0	11.500111111111112	11.5001111111111
41700.4	   29.2	 6811.0	13298.0	16668.0	 6887.0	11226.0	16841.0	 6872.0	17095.0	18138.0	11.583444444444444	11.5834444444444
42000.4	   29.3	 6954.0	13337.0	16675.0	 6786.0	11051.0	16551.0	 6867.0	16890.0	18040.0	11.666777777777778	11.6667777777778
42300.4	   29.3	 6856.0	13218.0	16799.0	 6774.0	11474.0	16785.0	 6962.0	17202.0	18472.0	11.750111111111112	11.7501111111111
42600.4	   29.1	 6705.0	13490.0	16904.0	 6786.0	11170.0	16767.0	 6852.0	17172.0	17941.0	11.833444444444444	11.8334444444444
42900.4	   29.1	 6735.0	13111.0	16892.0	 6721.0	11601.0	16624.0	 6831.0	17200.0	18349.0	11.916777777777778	11.9167777777778
43200.4	   29.3	 6898.0	13234.0	16555.0	 6801.0	11370.0	16594.0	 6907.0	17191.0	18517.0	12.000111111111112	12.0001111111111
43500.4	   29.4	 6806.0	13295.0	16801.0	 6724.0	10878.0	16598.0	 6982.0	17268.0	18648.0	12.083444444444444	12.0834444444444
43800.4	   29.3	 6736.0	13381.0	16883.0	 6883.0	10860.0	16292.0	 6827.0	17810.0	18387.0	12.166777777777778	12.1667777777778
44100.4	   29.2	 6872.0	13690.0	16555.0	 6714.0	11029.0	16535.0	 6839.0	17058.0	18244.0	12.250111111111112	12.2501111111111
44400.4	   29.2	 6828.0	13093.0	16668.0	 6726.0	11184.0	16443.0	 6946.0	17065.0	18383.0	12.333444444444444	12.3334444444444
44700.4	   29.1	 6740.0	13089.0	16812.0	 6735.0	11061.0	16572.0	 6807.0	17125.0	17866.0	12.416777777777778	12.4167777777778
45000.4	   29.3	 6821.0	13027.0	16741.0	 6906.0	11236.0	16014.0	 6930.0	17528.0	18270.0	12.500111111111112	12.5001111111111
45300.4	   29.3	 6841.0	13169.0	16999.0	 6792.0	10655.0	16734.0	 6898.0	17006.0	18353.0	12.583444444444444	12.5834444444444
45600.4	   29.5	 6851.0	13461.0	16943.0	 6737.0	11186.0	16433.0	 6836.0	17142.0	18441.0	12.666777777777778	12.6667777777778
45900.4	   29.4	 6805.0	13264.0	16692.0	 6877.0	11307.0	16370.0	 6835.0	16900.0	17845.0	12.750111111111112	12.7501111111111
46200.4	   29.2	 6714.0	13033.0	17004.0	 6624.0	11193.0	16286.0	 6860.0	17127.0	18470.0	12.833444444444444	12.8334444444444
46500.4	   29.1	 6654.0	13182.0	16720.0	 6562.0	11303.0	16397.0	 6858.0	16537.0	18283.0	12.916777777777778	12.9167777777778
46800.5	   29.3	 6815.0	13400.0	16696.0	 6788.0	11052.0	16086.0	 6825.0	16732.0	18255.0	13.00013888888889	13.0001388888889
47100.5	   29.2	 6749.0	13581.0	16715.0	 6765.0	11361.0	16224.0	 6955.0	16777.0	18304.0	13.083472222222222	13.0834722222222
47400.5	   29.4	 6692.0	12891.0	16851.0	 6560.0	10917.0	15890.0	 6767.0	17128.0	17991.0	13.166805555555555	13.1668055555556
47700.5	   29.1	 6830.0	13349.0	16473.0	 6710.0	11169.0	15955.0	 6880.0	17733.0	18144.0	13.25013888888889	13.2501388888889
48000.5	   29.3	 6780.0	13184.0	16581.0	 6765.0	10939.0	16318.0	 6785.0	17284.0	17930.0	13.333472222222222	13.3334722222222
48300.5	   29.2	 6730.0	13205.0	16786.0	 6677.0	11031.0	16310.0	 7003.0	16937.0	18509.0	13.416805555555555	13.4168055555556
48600.5	   29.3	 6790.0	13156.0	16405.0	 6566.0	10860.0	16335.0	 6845.0	17277.0	18258.0	13.50013888888889	13.5001388888889
48900.5	   29.2	 6784.0	13128.0	16325.0	 6855.0	11200.0	16581.0	 6844.0	17257.0	18380.0	13.583472222222222	13.5834722222222
49200.5	   29.3	 6917.0	13163.0	16573.0	 6780.0	11132.0	16024.0	 6906.0	17379.0	18035.0	13.666805555555555	13.6668055555556
49500.5	   29.3	 6703.0	13002.0	16557.0	 6650.0	11056.0	15879.0	 6803.0	17238.0	18316.0	13.75013888888889	13.7501388888889
49800.5	   29.2	 6853.0	12817.0	16565.0	 6729.0	11562.0	16072.0	 6856.0	17260.0	18207.0	13.833472222222222	13.8334722222222
50100.5	   29.4	 6722.0	12914.0	16372.0	 6846.0	11087.0	16286.0	 6784.0	17377.0	17976.0	13.916805555555555	13.9168055555556
50400.5	   29.2	 6881.0	12814.0	16663.0	 6584.0	11361.0	16438.0	 6957.0	17020.0	18199.0	14.00013888888889	14.0001388888889
50700.5	   29.3	 6597.0	13057.0	16533.0	 6718.0	11006.0	16193.0	 6876.0	17298.0	18358.0	14.083472222222222	14.0834722222222
51000.5	   29.2	 6812.0	13085.0	16555.0	 6774.0	11160.0	16059.0	 6959.0	17116.0	18252.0	14.166805555555555	14.1668055555556
51300.5	   29.5	 6825.0	13045.0	16532.0	 6886.0	10824.0	16038.0	 6902.0	17047.0	18127.0	14.25013888888889	14.2501388888889
51600.5	   29.3	 6672.0	12790.0	16664.0	 6697.0	10730.0	16388.0	 6808.0	16829.0	18008.0	14.333472222222222	14.3334722222222
51900.5	   29.0	 6889.0	12877.0	16626.0	 6659.0	10616.0	16065.0	 6841.0	17307.0	18337.0	14.416805555555555	14.4168055555556
52200.5	   29.3	 6712.0	12807.0	16266.0	 6725.0	10944.0	15994.0	 6864.0	17334.0	17988.0	14.50013888888889	14.5001388888889
52500.5	   29.3	 6725.0	12714.0	16682.0	 6728.0	10894.0	15906.0	 6880.0	17207.0	18060.0	14.583472222222222	14.5834722222222
52800.5	   29.5	 6697.0	13001.0	16383.0	 6720.0	11094.0	15890.0	 6876.0	17638.0	18127.0	14.666805555555555	14.6668055555556
53100.5	   29.1	 6696.0	13037.0	16266.0	 6580.0	10690.0	15792.0	 6899.0	17247.0	17938.0	14.75013888888889	14.7501388888889
53400.5	   29.1	 6758.0	13105.0	16354.0	 6665.0	10819.0	15823.0	 6925.0	17095.0	18221.0	14.833472222222222	14.8334722222222
53700.5	   29.5	 6690.0	13214.0	16299.0	 6649.0	10719.0	15996.0	 6791.0	17362.0	17879.0	14.916805555555555	14.9168055555556
54000.5	   29.3	 6765.0	12868.0	16149.0	 6693.0	10914.0	15911.0	 6885.0	17453.0	17766.0	15.00013888888889	15.0001388888889
54300.5	   29.2	 6730.0	13174.0	16490.0	 6731.0	10688.0	15719.0	 7008.0	17203.0	17984.0	15.083472222222222	15.0834722222222
